Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
Total,,,,110724,37.44,60.26,64266,48860,15290,14487,803,0,0,513,108,8528,168,98.07,453,271,0.533,0,77,4837,1.59,3,57,5.26,29,5886,0.49,0,0,1,1356,7,385,20745,221.5148,200705,2075.2309,405,59.198,0:01:06,749634,5.29
B7lD5nhETM4,Napoleonic Cavalry 💂⚔️🐎 Uniforms of the Cavalry,"Aug 27, 2025",358,1904,42.33,,1527,708,805,775,30,0,0,17,0,59,0,100,11,1,2.333,0,18,1458,1.23,1,30,3.33,16,1752,0.91,0,0,,,0,12,178,7.9354,1904,80.1554,17,4.366,0:02:31,17432,8.04
u8Ltd_YYztM,Napoleon’s Cavalry ⚔️ Types of Cavalry 🐎,"Aug 25, 2025",323,1910,49.08,,1627,1000,622,602,20,0,0,11,0,58,1,98.31,11,1,2.141,0,24,1566,1.53,0,8,0,1,1420,0.07,0,0,,,0,34,189,7.6874,1910,84.1053,11,4.246,0:02:38,24394,5.62
Tn9m32clyAk,NAPOLEON ⚔️ 1805 : Battle of AUSTERLITZ 🇫🇷,"Nov 24, 2025",1843,441,13.99,,339,66,272,249,23,0,0,6,0,15,0,100,2,3,7.849,0,1,61,1.64,0,0,,0,153,0,0,0,,,0,98,72,4.5197,441,31.5748,6,3.448,0:04:17,3656,3.75
hrhzjdNIYkw,SPLINE The COMPLETE GUIDE: Lesson 1.16 - Frame & Export : Image Video 3D Files Websites Apps + More,"Jan 10, 2025",407,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.187,,,
fxzf2fIs6ig,NAPOLEON'S 🇫🇷 Corps System 💂 EXPLAINED,"Oct 25, 2025",508,812,37.87,,681,399,282,265,17,0,0,5,0,23,2,92,4,2,3.519,0,6,353,1.7,1,10,10,6,910,0.66,0,0,,,0,21,106,6.3896,812,43.388,5,2.866,0:03:12,6452,7.24
srISYbsYp0k,HOW to JOIN Napoleon's OLD GUARD 💂‍♂️🇫🇷,"Feb 10, 2026",497,692,25.76,,615,245,370,329,41,0,0,4,0,29,3,90.63,5,4,2.896,0,6,127,4.72,0,0,,1,200,0.5,0,0,,,0,3,70,3.5519,692,24.6134,4,2.002,0:02:08,12217,4.05
Gack8AIjbtE,The Emperors Men 🐎 Legends of Napoleon's Cavalry,"Sep 27, 2025",1068,415,23.38,,345,37,302,246,56,0,0,2,1,27,0,100,3,2,4.837,0,2,96,2.08,0,0,,3,404,0.74,0,0,,,0,19,38,4.4984,415,28.7853,1,1.959,0:04:09,4664,5.23
69FnVhqdsxQ,The Old Guard: Giants of War 🇫🇷,"Feb 8, 2026",80,6488,67.48,73.19,6158,3418,2734,2600,134,0,0,16,0,460,4,99.14,20,9,0.207,0,0,0,,0,0,,0,0,,0,0,,,0,5,1165,10.9162,10898,98.2067,16,1.339,0:00:53,40704,8.04
g7lh0SkmsxY,Napoleon's LEGENDARY 🐎 CAVALRY CHARGE ⚔️ at Somosierra,"Jan 17, 2025",490,517,39.03,,441,214,222,207,15,0,0,4,0,33,2,94.29,7,2,2.349,0,2,196,1.02,0,3,0,0,345,0,0,0,,,0,13,62,3.0187,517,27.4668,4,1.197,0:03:11,4731,6.21
tkqybCiJBuY,🟣🟣🟣PURPLE SCREEN - 3 Hours - NO SOUND Silent - 4K HD Vivid Ambiance Background Visual : MOOD LIGHT,"Dec 24, 2024",10801,479,10.03,,430,421,10,10,0,0,0,0,0,0,0,,0,0,2.484,0,0,0,,0,0,,0,0,,0,0,,,0,,21,4.9602,479,144.0818,0,1.19,0:18:02,87,0
