screenshot_id,captured_at,rank,confidence,version_folder,file,line,renderer_family,title_score,type_score,metric_score,date_score,matched_terms
media__1775761698824 copy.png,2026-04-09 19:08:42,1,0.8036,viewtube copy 8,/Users/cwb/Downloads/APP_COPIES/viewtube copy 8/src/views/ResearchLab.tsx,1995,GoogleChart,0.5,1.0,1.0,0.986,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,2,0.7387,viewtube copy 7,/Users/cwb/Downloads/APP_COPIES/viewtube copy 7/src/views/ResearchLab.tsx,1993,GoogleChart,0.5,1.0,1.0,0.3373,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,3,0.7283,ustube-CHARTS,/Users/cwb/Downloads/APP_COPIES/ustube-CHARTS/views/ResearchLab.tsx,1072,GoogleChart,0.5,1.0,1.0,0.2333,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,4,0.7242,viewtube_copy_10,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_10/New Folder With Items copy/src/views/ResearchLab.tsx,1996,GoogleChart,0.5,1.0,1.0,0.9919,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,5,0.6976,viewtube_copy_9,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_9/src/views/ChartsGallery/MasterGraphsPage.tsx,216,Recharts,0.5,1.0,1.0,0.7256,"top performers trio, views, watch time, revenue"
media__1775761698824 copy.png,2026-04-09 19:08:42,6,0.6976,viewtube_copy_10,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_10/New Folder With Items copy/src/views/ChartsGallery/MasterGraphsPage.tsx,216,Recharts,0.5,1.0,1.0,0.7256,"top performers trio, views, watch time, revenue"
media__1775761698833 copy.png,2026-04-09 19:08:42,1,0.8036,viewtube copy 8,/Users/cwb/Downloads/APP_COPIES/viewtube copy 8/src/views/ResearchLab.tsx,2818,GoogleChart,0.5,1.0,1.0,0.986,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,2,0.7387,viewtube copy 7,/Users/cwb/Downloads/APP_COPIES/viewtube copy 7/src/views/ResearchLab.tsx,2816,GoogleChart,0.5,1.0,1.0,0.3373,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,3,0.7283,ustube-CHARTS,/Users/cwb/Downloads/APP_COPIES/ustube-CHARTS/views/ResearchLab.tsx,1789,GoogleChart,0.5,1.0,1.0,0.2333,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,4,0.7242,viewtube_copy_10,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_10/New Folder With Items copy/src/views/ResearchLab.tsx,2819,GoogleChart,0.5,1.0,1.0,0.9919,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,5,0.7079,viewtube_copy_9,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_9/src/views/DataVizualizations.tsx,31,Custom,0.5,1.0,1.0,0.8294,"video value matrix, ctr, retention"
media__1775761698833 copy.png,2026-04-09 19:08:42,6,0.7079,viewtube_copy_10,/Users/cwb/Downloads/APP_COPIES/viewtube_copy_10/New Folder With Items copy/src/views/DataVizualizations.tsx,31,Custom,0.5,1.0,1.0,0.8294,"video value matrix, ctr, retention"
media__1777135346469.png,2026-04-25 16:44:46,1,0.7780,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab (2) copy.tsx,1037,GoogleChart,0.6,1.0,1.0,0.9802,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,2,0.7771,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab (3).tsx,1037,GoogleChart,0.6,1.0,1.0,0.9715,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,3,0.6800,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab.tsx,2006,GoogleChart,0.6,1.0,1.0,0.0,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,4,0.6800,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab copy.tsx,1634,GoogleChart,0.6,1.0,1.0,0.0,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,5,0.6800,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab copy 3.tsx,1324,GoogleChart,0.6,1.0,1.0,0.0,"shorts retention, packaging, research lab"
media__1777135346469.png,2026-04-25 16:44:46,6,0.6800,Research Lab TSX code,/Users/cwb/Downloads/viewtube/docs/Research Lab TSX code/ResearchLab copy 7.tsx,2003,GoogleChart,0.6,1.0,1.0,0.0,"shorts retention, packaging, research lab"
